animal_id,group_id,phase,overall_det,first_half_det,second_half_det
B08,young,test,0.5805054151624549,0.5285714285714286,0.5141176470588236
B09,young,test,0.5485519591141397,0.3875,0.48438456827924065
B10,young,test,0.5682312713708424,0.7298850574712644,0.5651090342679128
B11,young,test,0.5301286391333785,0.7627118644067796,0.4381720430107527
B12,young,test,0.5636007827788649,0.5909090909090909,0.5235109717868338
B13,young,test,0.6389132340052586,0.3037974683544304,0.7334661354581673
B14,young,test,0.5190924183729939,0.5491183879093199,0.3370967741935484
B15,young,test,0.603476371537208,0.28012519561815336,0.6192592592592593
B16,young,test,0.490295358649789,0.4878048780487805,0.5067024128686327
B18,young,test,0.4597156398104265,0.2702702702702703,0.44607843137254904
B20,young,test,0.7364620938628159,0.4344262295081967,0.7
B22,young,test,0.4357579877634262,0.1506849315068493,0.4682080924855491
B24,young,test,0.45194508009153317,0.38235294117647056,0.3988439306358382
B6.01,young,test,0.5635164835164835,0.2598870056497175,0.5305785123966942
B6.02,young,test,0.6669658886894075,0.7570754716981132,0.5880149812734082
B6.03,young,test,0.3776944704779756,0.2619047619047619,0.4653284671532847
B6.04,young,test,0.6558367963732528,0.7604166666666666,0.5718278367803242
B6.05,young,test,0.48002496878901374,0.22666666666666666,0.4613220815752461
B6.06,young,test,0.5486194477791116,0.3357664233576642,0.5722748815165877
B6.07,young,test,0.6011872638963842,0.631578947368421,0.5673076923076923
B6.08,young,test,0.4783783783783784,0.40350877192982454,0.3916349809885932
B6.09,young,test,0.413290113452188,0.21875,0.36931380107941403
B6.10,young,test,0.4895027624309392,0.5957446808510638,0.4467040673211781
B6.11,young,test,0.42946317103620474,0.35526315789473684,0.3791469194312796
B6.12,young,test,0.5456062291434928,0.6754966887417219,0.46885245901639344
B6.13,young,test,0.49860335195530725,0.5670731707317073,0.41262848751835535
B6.14,young,test,0.44089635854341735,0.4375,0.49252243270189433
